10000,0.0000060604,0.0001775118
20000,0.0000123780,0.0003362615
30000,0.0000192411,0.0004904509
40000,0.0000261001,0.0006671557
50000,0.0000341537,0.0008360878
60000,0.0000425452,0.0010245277
70000,0.0000500459,0.0012098987
80000,0.0000625679,0.0015362681
90000,0.0000671072,0.0016680076
100000,0.0000762074,0.0019640050
